007e89,car_light_blue_00,淡蓝色小汽车_00
64ea58,chicken_in_egg_64,蛋中的鸡_64
67e11d,christmas_ball_ornament_blue_67,蓝色圣诞装饰彩球_67
68f2ff,jack_olantern_68,南瓜灯_68
6904e2,hermit_crab_69,寄居蟹_69
6973f5,ocular_69,目镜_69
69f973,easter_egg_69,复活节彩蛋_69
6a329d,stocking_with_presents_6a,装礼物的长筒袜_6a
6b53c9,horse_skull_back_half_6b,马头骨_后半_6b
6e4228,chinese_take_out_box_6e,中餐打包盒_6e
6ea177,christmas_ball_ornament_orange_6e,橙色圣诞装饰彩球_6e
6ec53c,stone_gauntlet_6e,石雕护手_6e
705c6c,books_70,书本_70
71ee4c,hermit_crab_sandcastle_71,沙堡寄居蟹_71
73d5e1,car_red_73,红色小汽车_73
74635d,74635d,74635d
74e247,stage_light_green_74,绿色舞台灯_74
7594ca,christmas_ball_ornament_gold_75,金色圣诞装饰彩球_75
75ba39,tropical_fish_parrotfish_75,热带鱼（鹦鹉鱼）_75
76c0d0,alarm_clock_76,闹钟_76
76cbae,best_friends_76,挚友_76
781226,candle_white_78,白色蜡烛_78
78472a,grandfather_clock_78,老爷钟_78
785914,jellyfish_lime_78,黄绿色水母_78
7892d7,cod_fish_78,鳕鱼_78
78d6c3,rat_78,老鼠_78
797932,silver_chalice_79,银圣杯
797955,dice_white_79,白色骰子_79
79d4dd,candle_blue_79,蓝色蜡烛_79
7b5c4a,billiard_ball_10_7b,10号台球_7b
7cebc9,blue_top_light_7c,蓝色顶灯_7c
7d115f,chicken_egg_cracked_7d,裂开的鸡刷怪蛋_7d
7d4679,knight_helmet_7d,骑士头盔_7d
7d635a,ottoman_with_storage_7d,带储物柜的软垫凳_7d
7db179,ball_of_wool_light_blue_7d,淡蓝色羊毛球_7d
7dffd9,organ_in_a_bottle_7d,瓶中器官_7d
7f6bf9,bookshelf_7f,书架_7f
7f7081,potion_blue_7f,蓝色药水_7f
8072a1,piston_rod_80,活塞杆_80
8224b2,backpack_blue_82,蓝色背包_82
82442b,telephone_82,电话_82
82f071,billiard_ball_12_82,12号台球_82
83c25a,easter_basket_83,复活节彩蛋篮_83
841b8d,quietsnowfall,quietsnowfall
856924,diving_helmet_85,潜水头盔_85
85b130,top_light_85,顶灯_85
86247b,werewolf_86,狼人_86
879345,ghoul_87,食尸鬼_87
884e92,christmas_ball_ornament_red_88,红色圣诞装饰彩球_88
892037,penguin_89,企鹅_89
89bc48,potted_blue_orchid_89,蓝色兰花盆栽_89
8c8a82,christmas_ball_ornament_light_blue_8c,淡蓝色圣诞装饰彩球_8c
8d19c6,monitor_8d,显示器_8d
8d1cb9,towels_8d,毛巾_8d
8e2c18,warning_lamp_8e,警示灯_8e
8f1a27,rubiks_cube_8f,魔方_8f
8f7dc8,medieval_beer_8f,中世纪啤酒_8f
908b77,christmas_ball_ornament_orange_90,橙色圣诞装饰彩球_90
921127,apple_92,苹果_92
924869,easter_egg_92,复活节彩蛋_92
93c2f1,beach_ball_93,沙滩球_93
94f03a,easter_basket_94,复活节彩蛋篮_94
95b528,sans_95,Sans_95
97d7c5,pineapple_97,菠萝_97
97f57e,gold_block_97,金块_97
98daa1,globe_98,地球仪_98
98e334,snowman_98,雪人_98
9c0b1c,box_9c,盒子_9c
9c11d6,old_globe_9c,古式地球仪_9c
9c292b,bat_signal_9c,蝙蝠侠标志_9c
9c2e9d,fire_charge_9c,火焰弹_9c
9c6456,nuclear_waste_9c,核废料_9c
9ccefd,monitor_9c,显示器_9c
9d3d25,galaxy_9d,星系球_9d
9d6184,clock_purple_9d,紫色时钟_9d
9dcf29,command_block_chain_9d,连锁型命令方块_9d
9ed6ff,hot_toaster_9e,灼热的烤面包机_9e
9ef664,zombie_brain_9e,僵尸脑子_9e
9f2688,chicken_9f,鸡_9f
9f446a,warning_lamp_9f,警示灯_9f
9f455d,broken_spawner_9f,损坏的刷怪笼_9f
9fbe1b,fish_9f,鱼_9f
9fdddd,candle_red_9f,红色蜡烛_9f
9fe8de,fire_coral_9f,火珊瑚_9f
_fudgiethewhale_31,_fudgiethewhale_31,_fudgiethewhale_31
_fudgiethewhale_36,_fudgiethewhale_36,_fudgiethewhale_36
a07412,knight_helmet_a0,骑士头盔_a0
a0bd73,bookshelf_a0,书架_a0
a13882,candle_red_a1,红色蜡烛_a1
a240f2,skull_a2,头骨_a2
a2d963,jellyfish_white_a2,白色水母_a2
a2feba,books_a2,书本_a2
a4d816,chick_a4,小鸡_a4
a5bec7,glados_a5,GLaDOS_a5
a69821,stage_light_red_a6,红色舞台灯_a6
a6b221,lightbar_red,红色警车顶灯_a6
a70d31,grape_fish_a7,葡萄鱼_a7
a7f486,pig_a7,猪_a7
a91def,car_yellow_a9,黄色小汽车_a9
a95593,pufferfish_a9,河豚_a9
aa4b7e,sandcastle_aa,沙堡_ea
ad5fcd,traffic_light_red_ad,红色交通信号灯_ad
adamwho_95,adamwho_95,adamwho_95
aedde0,brown_snail_up_ae,朝上的棕色蜗牛_ae
afb812,crab_af,螃蟹_af
afbdf1,salmon_af,鲑鱼_af
ares_d6,aries_d6,aries_d6
ari_with_iron_helmet_55,ari_with_iron_helmet_55,戴铁头盔的 Ari_55
b01a56,keypad_b0,小键盘_b0
b124c5,shark_b1,鲨鱼_b1
b1dd4f,planet_minecraft_globe_b1,Planet Minecraft 地球徽标_b1
b24070,christmas_ball_ornament_light_gray_b2,淡灰色圣诞装饰彩球_b2
b33598,books_b3,书本_b3
b5651a,present_blue_b5,蓝色礼物_b5
b73a21,present_red_b7,红色礼物_b7
b7a663,stone_creeper_b7,石雕苦力怕_b7
ba44e2,galaxy_ba,星系球_ba
bff88a,easter_egg_bf,复活节彩蛋_bf
blockskey_2b,blockskey_2b,blockskey_2b
blockskey_4e,blockskey_4e,blockskey_4e
blue_whale_33,blue_whale_33,蓝鲸_33
c078c6,golden_ring_c0,金戒指_c0
c0e61f,jar_of_holy_water_c0,圣水玻璃罐_c0
c0f877,dead_mouse_c0,死老鼠_c0
c2caa5,stage_light_blue_c2,蓝色舞台灯_c2
c33c51,anglerfish_c3,鮟鱇鱼_c3
c35257,potted_azalea_plant_c3,杜鹃盆栽_c3
c4c05d,green_apple_c4,青苹果_c4
c535ff,sandcastle_c5,沙堡_c5
c57b8a,skull_c5,头骨_c5
c5e279,hamburger_c5,汉堡包_c5
c5e72a,car_green_c5,绿色小汽车_c5
c882eb,rubber_ducky_c8,橡皮鸭_c8
c98dda,rubber_ducky_purple_c9,紫色橡皮鸭_c9
ca697c,candle_lime_ca,黄绿色蜡烛_ca
ca7532,present_brown_ca,棕色礼物_ca
cb852b,redstone_skull_cb,红石头骨_cb
ccdb95,bowlingball_black_cc,黑色保龄球_cc
cdbca4,chest_cd,箱子_cd
ce236e,christmas_ball_ornament_white_ce,白色圣诞装饰彩球_ce
ce62e8,cold_frog_ce,寒带青蛙_ce
cff6eb,bowl_of_noodles_cf,一碗面条_cf
cheesey_61,cheesey_61,cheesey_61
cheesey_e9,cheesey_e9,cheesey_e9
clownfish_36,clownfish_36,小丑鱼_36
crusader_helmet_ce,crusader_helmet_ce,十字军头盔_ce
d09558,easter_egg_blue_d0,蓝色复活节彩蛋_d0
d18743,easter_egg_d1,复活节彩蛋_d1
d43580,folder_brown_d4,棕色标签文件夹_d4
d4bf64,lightbar_blue,蓝色警车顶灯_d4
d511a5,grapes_d5,葡萄_d5
d55b1a,top_hat_d5,高礼帽_d5
d569db,candle_brown_d5,棕色蜡烛_d5
d5aa52,billiard_ball_8_d5,8号台球_d5
d5c6dc,chest_d5,箱子_d5
d6dd5e,tropical_fish_tomato_clownfish_d6,热带鱼（番茄色小丑鱼）_d6
d6eeab,flowerpot_d6,花盆_d6
d8d1ad,truck_d8,卡车_d8
da6ae5,clock_day_da,白天的时钟_da
db6f9e,sandcastle_db,沙堡_db
dd44f2,pringles_man_dd,品客薯片人_dd
ddf55e,aries_gray_dd,灰色公羊_dd
dueces_32,dueces_32,dueces_32
dueces_d6,dueces_d6,dueces_d6
e0605c,jellyfish_pink_e0,粉色水母_e0
e1322f,truck_e1,卡车_e1
e149fc,steve_head_in_a_bottle_e1,瓶子里的 Steve 头颅_e1
e156ff,cactus_e1,仙人掌_e1
e1b8fd,lantern_e1,灯笼_e1
e23f8a,candle_magenta_e2,品红色蜡烛_e2
e266f5,pufferfish_astonished_e2,震惊的河豚
e2731b,ball_of_wool_green_e2,绿色羊毛球_e2
e2c415,projector_e2,投影仪_5e
e41de8,water_bucket_e4,水桶_e4
e630c2,stage_light_yellow_e6,黄色舞台灯_e6
e6b77d,folder_purple_e6,紫色标签文件夹_e6
e8de98,bouquet_e8,花束_e8
e8e010,bowl_of_noodles_e8,一碗面条_e8
e9b7d8,easter_egg_e9,复活节彩蛋_e9
ea5eab,easter_egg_brown_ea,棕色复活节彩蛋_ea
eac43c,box_ea,盒子_ea
eaf781,lettercube_green_ea,绿色字母积木_ea
eb7a8d,fish_orange_eb,橙色鱼_eb
eb8a96,dispenser_eb,发射器
eb8e29,pufferfish_in_a_bucket_eb,桶里的河豚_eb
ecf2ab,books_ec,书本_ec
ed1e99,tv_ed,电视机_ed
edee1f,folder_pink_ed,粉色标签文件夹_ed
edf847,basketball_ed,篮球_ed
eeb1ec,golden_chalice_with_gem_red_ee,带红色宝石的金圣杯_ee
efa8a5,bus_ef,公交车_ef
efb6a3,backpack_brown_ef,棕色背包_ef
efe_with_iron_helmet_e5,efe_with_iron_helmet_e5,戴铁头盔的 Efe_e5
emoticon_alex_super_happy_6f,emoticon_alex_super_happy_6f,Alex 表情图示（超级开心）_6f
externalizable_31,externalizable_31,externalizable_31
externalizable_ca,externalizable_ca,externalizable_ca
f2d22b,tropical_fish_red_lipped_blenny_f2,热带鱼（红唇真蛇鳚）_f2
f2f730,toaster_f2,烤面包机_f2
f31f9c,sheep_white_f3,白色绵羊_f3
f3487d,bread_f3,面包_f3
f3bab1,night_globe_f3,夜晚雪景球_f3
f48217,blueberry_pie_f4,蓝莓派_f4
f5434b,knight_helmet_f5,骑士头盔_f5
f5a19a,lettercube_red_f5,红色字母积木_f5
f653bd,skeleton_pirate_f6,骷髅海盗_f6
f66d8d,crab_f6,螃蟹_f6
f6ac70,alex_head_in_a_bottle_f6,瓶子里的 Alex 头颅_f6
f7b15f,apple_f7,苹果_f7
f7bbbf,parking_sign_f7,停车指示牌_f7
f7c178,knight_f7,骑士_f7
f83370,pear_f8,梨_f8
f91e73,sandstone_fossil_dinosaur_skull_f9,砂岩恐龙头骨化石_f9
f94979,african_drum_f9,非洲手鼓_f9
f95957,bowl_of_noodles_f9,一碗面条_f9
f986b3,traffic_light_off_f9,熄灭的交通信号灯_f9
f9a867,captain_skull_f9,船长头骨_f9
fa6df6,potion_black_fa,黑色药水_fa
fa84c2,monitor_fa,显示器_fa
fac501,ball_of_wool_red_fa,红色羊毛球_fa
fc2c57,ham_fc,火腿_fc
fcb8f0,clock_fc,时钟_fc
fe8e80,shovel_knight_fe,铲子骑士_fe
fe98d2,billiard_ball_5_fe,5号台球_fe
fea3f4,mole_fe,鼹鼠_fe
fed4ae,monitor_fe,显示器_fe
ff6849,christmas_ball_ornament_red_ff,红色圣诞装饰彩球_ff
fish_40,fish_40,鱼_40
fish_49,fish_49,鱼_49
fish_6f,fish_6f,鱼_6f
fish_ad,salmon_ad,鲑鱼_ad
fish_b0,golden_magikarp_129_b0,金色鲤鱼王_b0
fish_c3,fish_c3,鱼_c3
fish_c9,fish_c9,鱼_c9
fish_ce,fish_ce,鱼_ce
hypixel_3f,hypixel_3f,hypixel_3f
leather_helmet_blue_fd,leather_helmet_blue_fd,蓝色皮革帽子_fd
leather_helmet_magenta_96,leather_helmet_magenta_96,品红色皮革帽子_96
leather_helmet_red_e7,leather_helmet_red_e7,红色皮革帽子_e7
magikarp_2f,magikarp_2f,鲤鱼王_2f
makena_dc,makena_dc,Makena_dc
mhf_chest_6f,mhf_chest_6f,MHF 箱子_6f
noor_with_iron_helmet_fe,noor_with_iron_helmet_fe,戴铁头盔的 Noor_fe
plummel_4e,hooded_enderman_4e,戴兜帽的末影人_4e
plummel_50,hooded_enderman_50,戴兜帽的末影人_50
plummel_c1,hooded_enderman_c1,戴兜帽的末影人_c1
plummel_e3,hooded_enderman_e3,戴兜帽的末影人_e3
rozsa_c4,rozsa_c4,rozsa_c4
sansundertale_9a,sansundertale_9a,sansundertale_9a
sarcasticburger_b2,sarcasticburger_b2,sarcasticburger_b2
shocked_steve_9a,shocked_steve_9a,惊讶的 Steve_9a
skyerzz_1d,skyerzz_1d,skyerzz_1d
skywalker_ec,skywalker_ec,skywalker_ec
swamp_monster_3d,diamivore_3d,diamivore
sylent__23,sylent__23,sylent__23
thegreatergod_41,thegreatergod_41,thegreatergod_41
winterslocke_f6,winterslocke_f6,winterslocke_f6
